STORE_NBR,YEARMONTH,totSales,nCustomers,nTxn,nChips,nTxnPerCust,nChipsPerTxn,avgPricePerUnit
1,201807,188.9,47,49,58,1.0425531914893618,1.183673469387755,3.256896551724138
1,201808,168.4,41,41,52,1.0,1.2682926829268293,3.2384615384615385
1,201809,268.1,57,59,71,1.0350877192982457,1.2033898305084745,3.7760563380281695
1,201810,175.4,39,40,51,1.0256410256410255,1.275,3.43921568627451
1,201811,184.8,44,45,55,1.0227272727272727,1.2222222222222223,3.3600000000000003
1,201812,160.6,37,40,48,1.0810810810810811,1.2,3.345833333333333
1,201901,149.7,35,35,41,1.0,1.1714285714285715,3.6512195121951216
2,201807,140.5,36,38,43,1.0555555555555556,1.131578947368421,3.2674418604651163
2,201808,180.9,35,39,50,1.1142857142857143,1.2820512820512822,3.6180000000000003
2,201809,133.9,32,33,36,1.03125,1.0909090909090908,3.7194444444444446
2,201810,160.1,39,41,43,1.0512820512820513,1.048780487804878,3.723255813953488
2,201811,143.3,33,34,38,1.0303030303030303,1.1176470588235294,3.771052631578948
2,201812,129.2,32,35,37,1.09375,1.0571428571428572,3.4918918918918918
2,201901,158.7,41,43,47,1.048780487804878,1.0930232558139534,3.3765957446808508
3,201807,1164.9,108,134,263,1.2407407407407407,1.962686567164179,4.429277566539924
3,201808,998.15,106,124,237,1.169811320754717,1.9112903225806452,4.211603375527426
3,201809,1011.3000000000001,102,118,230,1.1568627450980393,1.9491525423728813,4.39695652173913
3,201810,1017.5,103,117,231,1.1359223300970873,1.9743589743589745,4.404761904761905
3,201811,936.6,95,111,213,1.168421052631579,1.9189189189189189,4.397183098591549
3,201812,1075.7,107,124,246,1.158878504672897,1.9838709677419355,4.372764227642277
3,201901,980.3,97,114,222,1.175257731958763,1.9473684210526316,4.415765765765766
4,201807,1318.3,121,152,302,1.256198347107438,1.986842105263158,4.36523178807947
4,201808,1188.1,118,144,276,1.2203389830508475,1.9166666666666667,4.304710144927536
4,201809,1168.0,117,135,270,1.1538461538461537,2.0,4.325925925925926
4,201810,1275.0,119,148,296,1.2436974789915967,2.0,4.3074324324324325
4,201811,1089.6,109,127,254,1.165137614678899,2.0,4.289763779527559
4,201812,1134.6,102,128,256,1.2549019607843137,2.0,4.43203125
4,201901,1402.6,125,156,311,1.248,1.9935897435897436,4.509967845659164
5,201807,763.8,86,111,222,1.2906976744186047,2.0,3.4405405405405403
5,201808,654.5,85,99,189,1.1647058823529413,1.9090909090909092,3.462962962962963
5,201809,875.2,99,122,244,1.2323232323232323,2.0,3.5868852459016396
5,201810,740.6,81,98,196,1.2098765432098766,2.0,3.7785714285714285
5,201811,707.0,80,103,206,1.2875,2.0,3.4320388349514563
5,201812,800.2,90,112,224,1.2444444444444445,2.0,3.5723214285714286
